DataSource,SubType,med_cov,nu_mle,mu_mle,sigma_mle,nu_fit,mu_fit,sigma_fit
Liu2021,ANP anp-olf-cnu,15,0.376576177590512,0.215642532475356,0.10212421206349,0.399006340074393,0.208997186032291,0.108873485356495
Liu2021,ASC cortex-olf,31,0.350373215149956,0.194576745200832,0.192821805226652,0.303959058186405,0.161092739635757,0.223333318954473
Liu2021,ASC mid,58,0.1607293714839,0.153235077729217,0.298278033229574,0.0854354612434365,0.13473642982252,0.31645531086926
Liu2021,ASC str-hpf,86,9.26294346130467e-14,0.13036643548494,0.355559018923996,0.016912743049445,0.12372600711573,0.342206159683852
Liu2021,CA1 Chrm3,200,2.4286717142159e-11,0.115310926137388,0.29744051940698,0.000275188602196852,0.117426693363206,0.312632665228925
Liu2021,CA3 Cadm2,181,2.22044604925032e-16,0.116377331290922,0.297339466397368,0.000453220043846116,0.117122453770608,0.317729510003583
Liu2021,CGE-Lamp5 Grk5,51,0.13924961393345,0.137487594734444,0.287531468197366,0.127843210333476,0.138890286573137,0.301934656604423
Liu2021,CLA Cdh8,37,0.185442404416359,0.139316527599186,0.256946248207829,0.245263880754863,0.151915734296876,0.253720035984805
Liu2021,CT-L6 Il1rap,316,2.22044604925032e-16,0.117128304065014,0.294238671592799,2.79204729420187e-05,0.119960196094189,0.296967925369212
Liu2021,CT-L6 Megf9,200,2.22044604925032e-16,0.116024228905314,0.303282846195111,0.00027518860219679,0.117426693363206,0.312632665228733
Liu2021,D1L-PAL Plcxd3,19,0.437094850188661,0.197473911599928,0.150303117065804,0.403693540068315,0.192452710428234,0.141620912710559
Liu2021,DG dg-all,513,2.22044604925032e-16,0.12935134967689,0.285507427305535,2.47098186472025e-06,0.1244773955002,0.285326431341628
Liu2021,Foxp2 Inpp4b,29,0.319440514664613,0.169591775791961,0.212134775473823,0.323202340458765,0.164898557100183,0.21166643985857
Liu2021,IT-L23 Cux1,510,2.22044604925032e-16,0.123836516003215,0.294441688011494,2.54483600989329e-06,0.124416146287069,0.285462598508665
Liu2021,IT-L23 Foxp1,100,2.22044604925032e-16,0.113323999093082,0.34397378880378,0.00838744199802516,0.120553005996512,0.344196844645802
Liu2021,IT-L23 Ptprt,93,2.22044604925032e-16,0.116025037644264,0.345916919260591,0.0117963412613794,0.121960484087131,0.343881091016588
Liu2021,IT-L23 Tenm2,161,2.22044604925032e-16,0.115126005570762,0.325810894040735,0.000813234708455333,0.116906171587068,0.324613463552788
Liu2021,IT-L4 Astn2,207,1.77553538842758e-14,0.119220991364517,0.325080535357415,0.000231699877993478,0.117551511721349,0.311067314239888
Liu2021,IT-L4 Shc3,122,2.22044604925032e-16,0.109730625833075,0.328200414737033,0.0032122029182032,0.117908124466385,0.33954646856556
Liu2021,IT-L5 Cdh8,179,2.22044604925032e-16,0.116960970063068,0.323073553470036,0.000479078913264092,0.11709413358298,0.318347889196158
Liu2021,IT-L5 Etv1,158,2.22044604925032e-16,0.116316899461052,0.31775722737243,0.000893159717234192,0.116895584236048,0.32575676305139
Liu2021,IT-L5 Grik3,141,1.81465253929147e-11,0.115182084892578,0.319457895493815,0.00157298829537124,0.117043122214983,0.332492300036061
Liu2021,IT-L6 Cadps2,65,2.22044604925032e-16,0.107350481097634,0.333276673022768,0.0560107769074461,0.131340614390951,0.326618654012842
Liu2021,IT-L6 Fstl4,84,2.22044604925032e-16,0.107387143089517,0.32615047965732,0.0188130164928076,0.124300227897809,0.341443859089746
Liu2021,IT-L6 Man1c1,193,1.27644222913857e-14,0.117612072930476,0.315466462972484,0.000328817560091293,0.117308744277206,0.314353471621368
Liu2021,L6b Nrp2,31,0.239216300071003,0.128537321550589,0.26584183748128,0.303959058186405,0.161092739635757,0.223333318954473
Liu2021,MGC mgc-all,69,0.133843399703337,0.195514506388411,0.273510143656906,0.0440420262071274,0.129630043180121,0.331007142412756
Liu2021,MGE-Pvalb Thsd7a,47,0.122313790117686,0.126160766466221,0.303533695288163,0.157774408727692,0.14179267342485,0.29107367400454
Liu2021,MGE-Sst Bmper,19,0.431447086467381,0.18189339042632,0.150704581251441,0.403693540068315,0.192452710428234,0.141620912710559
