median_coverage,nu,mu,sigma
1,0.87715722303251,0.248023439888485,0.00577520572751547
2,0.799030841912154,0.231511248381015,0.0128948490950183
3,0.738412413409135,0.222215100328326,0.0206290739716636
4,0.68884288522607,0.215782908874523,0.0287915515097725
5,0.647077082833936,0.210887391788934,0.0372880180096578
6,0.611162288117422,0.206948245603564,0.0460604882986586
7,0.579807302431763,0.203660378709478,0.0550693395563503
8,0.552105732688014,0.200843852602495,0.0642856253866658
9,0.527359303507501,0.198364651902719,0.0736759171457202
10,0.504233750015173,0.19607824522667,0.0831639826840824
11,0.480184707247955,0.193894623752691,0.0926559087463253
12,0.455733112899793,0.191725193668694,0.102077659545921
13,0.432391850732712,0.189506725814652,0.111374817176594
14,0.413197941702858,0.187184542628252,0.120521465914245
15,0.399724794642384,0.184739899016449,0.129499225927834
16,0.390606383343912,0.182217343191116,0.138283140929582
17,0.383874710359609,0.179671531133183,0.146847488192869
18,0.378042762142986,0.177143103777399,0.155170600386426
19,0.372073065576886,0.174660073587428,0.163235093397622
20,0.365368947100425,0.17224140860131,0.171029520607047
21,0.357985928812221,0.169899036763387,0.178554990787707
22,0.350122782115547,0.167638772822832,0.185820015127354
23,0.341946906318641,0.165463358764064,0.192834387058966
24,0.333591684374566,0.163373715161579,0.199607914859562
25,0.325163217349239,0.161369467848151,0.206150292555202
26,0.316724473039435,0.159449667553847,0.212469755891097
27,0.308250534324307,0.157613813356174,0.218569487856512
28,0.299719720587612,0.155860566308641,0.224451683193594
29,0.291123509968244,0.154187969015888,0.230118954885213
30,0.282456870548828,0.1525938639578,0.235574056674516
31,0.273706074755168,0.151076388087348,0.240819118600409
32,0.264868629518162,0.149633612505369,0.245856767990098
33,0.255968499747677,0.14826369089067,0.250691273121263
34,0.247035096511327,0.146964645503618,0.255327358613835
35,0.238097158549284,0.145734354243326,0.259769815617093
36,0.22918517045949,0.144570378309477,0.264024033806487
37,0.22033772035171,0.143469403161707,0.268097532174462
38,0.211587474344561,0.142428138029003,0.271997531439302
39,0.202950311258282,0.141443612646335,0.275728823919446
40,0.194441546870498,0.140512706346257,0.279295577679459
41,0.18608060007685,0.139631846432299,0.282702337549192
42,0.177885919228269,0.13879762397381,0.285953690787794
43,0.169873736354806,0.138006934509837,0.289054144513162
44,0.162058128275798,0.137256944624741,0.292008120543964
45,0.154451091280123,0.136545062846877,0.294819951370306
46,0.147062627903256,0.135868914230449,0.297493877090592
47,0.139900844146548,0.135226318086746,0.300034043174894
48,0.132972472447479,0.134615237879869,0.302444582599646
49,0.126283984126125,0.134033681505561,0.304729848140952
50,0.119840095479288,0.133479790273688,0.306894136394853
51,0.113644407165459,0.132951783891847,0.308941925991186
52,0.107701650804092,0.132447759661231,0.310878660086421
53,0.102013564565512,0.131966041518753,0.312709122045113
54,0.0965771113639906,0.13150548973918,0.314436898846825
55,0.0913884002537988,0.131064972349524,0.316065762769203
56,0.0864456435931928,0.130642799431734,0.317601358294598
57,0.0817459874598488,0.130237271952658,0.319049510167464
58,0.0772848987460931,0.129846840087865,0.32041570327921
59,0.0730564854138298,0.129470108204948,0.321705110544462
60,0.0690537546026545,0.129105875901723,0.322922636017953
61,0.0652689311253941,0.128753079129588,0.324072922052872
62,0.0616937026883047,0.12841081066607,0.325160409893595
63,0.0583193811407326,0.128078251837822,0.326189294071503
64,0.0551370520258457,0.127754647529941,0.327163518773733
65,0.0521377047496634,0.127439300656759,0.328086792778653
66,0.0493123952970471,0.127131536690449,0.328962733039765
67,0.046652468057642,0.12683061333917,0.329795247046014
68,0.0441494112846049,0.126535817819496,0.330588122044686
69,0.0417948644424377,0.126246493859519,0.331344905484405
70,0.039580534658792,0.125962129287207,0.332068525837686
71,0.0374978753778476,0.125682635912457,0.33276013584984
72,0.035538597302233,0.125408110968081,0.333420263043303
73,0.0336949035735882,0.125138659789305,0.334049383587883
74,0.0319594899984163,0.124874371572406,0.334647974142078
75,0.0303255177452507,0.124615320898784,0.335216511162181
76,0.0287865867127561,0.124361569118671,0.335755470282352
77,0.0273367097295236,0.124113165608015,0.336265325758719
78,0.0259702877027399,0.123870148910729,0.336746549971326
79,0.0246820857970021,0.123632547777207,0.337199612978391
80,0.0234672106951709,0.123400382108927,0.337624982117895
81,0.0223210889693479,0.12317366381796,0.338023121652037
82,0.0212394465709637,0.122952397609331,0.338394492450552
83,0.0202182894338185,0.122736581693382,0.33873955170926
84,0.0192538851720991,0.122526208434587,0.339058752700603
85,0.01834274695064,0.122321251442867,0.339352592842712
86,0.0174816200260815,0.12212162786944,0.339621751134255
87,0.0166674590674423,0.12192725334004,0.33986689284069
88,0.0158974047144334,0.121738085956106,0.340088508133151
89,0.0151687828528056,0.121554091850888,0.340287040502343
90,0.0144790952537527,0.121375234657151,0.340462927060881
91,0.0138260074139997,0.121201475806099,0.34061659853913
92,0.013207337243205,0.121032774799549,0.340748479290628
93,0.0126210445436974,0.120869089457721,0.340858987306128
94,0.0120652210645033,0.120710372870282,0.340948556867208
95,0.0115380809914181,0.120556564218272,0.341017703660447
96,0.0110379531149133,0.12040759951891,0.341066952165948
97,0.0105632729860773,0.120263408099943,0.341096839796508
98,0.010112575227268,0.120123892964947,0.341107993696286
99,0.00968448727213554,0.119988953159315,0.341101045328451
100,0.0092777231828215,0.119858490699414,0.34107660424
101,0.00889107787621024,0.119732406411731,0.341035286565811
102,0.00852342195675118,0.119610588028517,0.340977796482303
103,0.00817369620684435,0.119492923177314,0.340904837952684
104,0.00784090675984061,0.119379303456843,0.340817086944392
105,0.00752412073825656,0.119269624261318,0.340715192602639
106,0.0072224622001345,0.119163784614065,0.340599778371732
107,0.00693510837109067,0.119061687009899,0.340471443066584
108,0.00666128614122023,0.1189632372657,0.340330761896696
109,0.00640026880754371,0.118868344378704,0.340178287444819
110,0.00615137304409293,0.118776920392039,0.340014550602357
111,0.00591395608305169,0.11868888026709,0.339840061463529
112,0.00568741309158913,0.118604141762259,0.339655310180195
113,0.00547117473016172,0.118522625317784,0.339460767779139
114,0.00526470487911428,0.118444253946238,0.339256886943569
115,0.00506749852138907,0.118368953128386,0.339044102760461
116,0.00487907977005935,0.11829665071411,0.33882283343534
117,0.00469900003024307,0.118227276828099,0.338593480975986
118,0.00452683628573057,0.118160763780037,0.338356431846497
119,0.00436218950137941,0.118097045979055,0.338112057593067
120,0.00420468313299546,0.118036059852193,0.337860715442794
121,0.00405396173703477,0.117977743766665,0.337602748876723
122,0.00390968967303033,0.117922037955712,0.337338488178334
123,0.0037715498252299,0.117868881749685,0.337068261078351
124,0.00363924225476233,0.117818205979569,0.336792413637469
125,0.00351248326846304,0.11776994204193,0.336511253578558
126,0.00339100464769814,0.117724023840482,0.336225068143286
127,0.00327455275836009,0.117680387470379,0.335934133505518
128,0.00316288767502164,0.117638971129757,0.335638715207402
129,0.00305578236231863,0.117599715035514,0.335339068577106
130,0.00295302190954585,0.117562561343075,0.335035439129032
131,0.00285440281474898,0.117527454069931,0.334728062947284
132,0.00275973231487123,0.117494339022752,0.33441716705315
133,0.00266882775876762,0.117463163727869,0.334102969757297
134,0.00258151602013416,0.117433877364959,0.333785680997378
135,0.00249763294761552,0.117406430703748,0.333465502661674
136,0.00241702284955483,0.117380776043589,0.333142628899404
137,0.00233953801103301,0.117356867155754,0.332817246418296
138,0.00226503824101588,0.117334659228297,0.332489534769962
139,0.00219339044758419,0.117314108813366,0.332159666623623
140,0.00212446823936697,0.117295173776833,0.331827808028698
141,0.00205815155143325,0.117277813250121,0.331494118666734
142,0.0019943262686367,0.117261987825237,0.331158744025399
143,0.00193288381198366,0.117247656655355,0.330821819026085
144,0.0018737208818252,0.117234766384793,0.33048357246726
145,0.00181673924169486,0.117223261999591,0.33014424992316
146,0.00176184545538472,0.11721309032258,0.32980408675179
147,0.00170895062566586,0.117204199943265,0.329463308492368
148,0.00165797014863163,0.117196541150829,0.329122131247241
149,0.00160882348264916,0.117190065870105,0.328780762048896
150,0.00156143393097552,0.117184727600363,0.328439399212639
151,0.00151572843716026,0.117180481356767,0.328098232675514
152,0.00147163739241721,0.117177283614381,0.327757444321993
153,0.00142909445420405,0.117175092254571,0.327417208296967
154,0.00138803637530095,0.117173866513714,0.327077691306532
155,0.0013484028427274,0.117173566934082,0.326739052907058
156,0.00131013632588124,0.117174155316796,0.326401445782996
157,0.00127318193332568,0.117175594676757,0.326065016013879
158,0.00123748727768831,0.117177849199458,0.325729903330926
159,0.00120300234175721,0.117180884411407,0.325396236935466
160,0.00116967934072181,0.11718466776208,0.325064122777941
161,0.0011374726308559,0.117189167922343,0.324733657717753
162,0.00110633860587418,0.117194354060506,0.324404937728703
163,0.0010762355877312,0.117200194430736,0.32407806820929
164,0.00104712373961715,0.117206657814468,0.323753153225721
165,0.00101896497757677,0.117213713964979,0.323430292158619
166,0.000991722884225999,0.117221333574256,0.323109579884705
167,0.000965362627155264,0.117229488241168,0.322791106951461
168,0.000939850881741621,0.117238150440898,0.322474959745063
169,0.000915155758109717,0.117247293495557,0.32216122065185
170,0.000891246731998224,0.117256891545948,0.321849968213577
171,0.000868094579303652,0.117266919524415,0.321541277276704
172,0.000845671311629909,0.117277354014745,0.321235214870534
173,0.000823950110676805,0.117288175890526,0.320931827557918
174,0.000802905281163218,0.117299367493776,0.320631155093409
175,0.000782512199773847,0.117310909517003,0.320333244173687
176,0.000762747262580766,0.117322774435127,0.320038176122402
177,0.000743587840398283,0.117334933341679,0.319746037909998
178,0.000725012234518663,0.117347358226354,0.31945691254488
179,0.000706999633816035,0.117360021946172,0.31917087922434
180,0.000689530070083195,0.117372901213285,0.318888004156813
181,0.000672584368440814,0.117385985508884,0.318608313132837
182,0.000656144122472599,0.117399268060841,0.318331812651633
183,0.000640191658482214,0.117412744008151,0.31805847529261
184,0.000624710008235539,0.117426409036753,0.317788265697599
185,0.000609682879050854,0.117440258931857,0.317521149034134
186,0.000595094623563444,0.117454289575251,0.317257090986131
187,0.000580930210990498,0.117468496942699,0.316996057744737
188,0.000567175199814636,0.117482877101423,0.316738015999368
189,0.000553815711809344,0.117497426207661,0.316482932928913
190,0.000540838407333965,0.117512140504299,0.316230776193111
191,0.000528230461830253,0.117527016318584,0.315981513924098
192,0.000515979543456365,0.117542050059901,0.315735114718117
193,0.000504073791797955,0.117557238217623,0.315491547627386
194,0.000492501796898072,0.117572577376163,0.315250782004782
195,0.000481252578005689,0.117588064263718,0.31501278706058
196,0.000470315567581361,0.117603695696909,0.314777532315611
197,0.000459680594491055,0.11761946856137,0.314544987744375
198,0.000449337867271907,0.117635379809989,0.314315123766738
199,0.000439277958181974,0.117651426461211,0.314087911239794
200,0.000429491787993738,0.117667605597384,0.313863321449914
201,0.000419970610375612,0.117683914497362,0.313641320126069
202,0.000410705995015013,0.117700351024206,0.31342185012984
203,0.000401689818176028,0.117716913210586,0.313204849915077
204,0.000392914251206577,0.117733599124583,0.312990259437028
205,0.000384371748461603,0.117750406868907,0.312778020110354
206,0.000376055035775423,0.117767334580137,0.312568074768516
207,0.000367957099455792,0.117784380427975,0.31236036762448
208,0.000360071175507995,0.117801542532376,0.312154846870849
209,0.000352390738870918,0.117818818724801,0.311951472270923
210,0.000344909494714714,0.117836206799903,0.311750206991793
211,0.000337621369537014,0.117853704595895,0.311551014966187
212,0.000330520502390333,0.117871309993529,0.311353860873269
213,0.000323601236495984,0.117889020915108,0.311158710120011
214,0.00031685811122582,0.117906835323527,0.310965528823117
215,0.000310285854434028,0.117924751221336,0.31077428379147
216,0.000303879375122212,0.117942766649829,0.310584942509099
217,0.000297633756421825,0.117960879688163,0.310397473118638
218,0.000291544248878843,0.117979088452491,0.310211844405261
219,0.000285606264026387,0.117997391095126,0.310028025781084
220,0.000279815368231726,0.118015785803726,0.309845987270011
221,0.000274167276804748,0.118034270800497,0.309665699493013
222,0.000268657848355715,0.118052844341422,0.309487133653826
223,0.000263283079390699,0.118071504715505,0.309310261525052
224,0.000258039099133674,0.118090250244039,0.309135055434654
225,0.000252922164564823,0.118109079279892,0.308961488252821
226,0.000247928655665133,0.118127990206811,0.308789533379213
227,0.000243055070857843,0.118146981438742,0.308619164730548
228,0.000238298022637782,0.118166051419174,0.308450356728537
229,0.000233654233380082,0.11818519862049,0.30828308428815
230,0.00022912053132017,0.118204421543347,0.308117322806209
231,0.000224693846697345,0.118223718716056,0.307953048150281
232,0.000220371208054603,0.118243088693996,0.307790236647882
233,0.000216149738687774,0.118262530059025,0.307628865075971
234,0.000212026653237312,0.118282041418921,0.307468910650723
235,0.000207999254416465,0.118301621406825,0.307310351017584
236,0.000204064929869795,0.118321268680706,0.307153164241579
237,0.000200221149156357,0.118340981922835,0.306997328797892
238,0.00019646546085208,0.118360759839275,0.306842823562685
239,0.000192795489766181,0.11838060115938,0.306689627804166
240,0.000189208934266665,0.118400504635308,0.306537721173884
241,0.000185703563710215,0.118420469041547,0.306387083698256
242,0.000182277215971985,0.118440493174455,0.306237695770316
243,0.000178927795071029,0.1184605758518,0.306089538141679
244,0.000175653268887279,0.118480715912325,0.3059425919147
245,0.000172451666966219,0.118500912215319,0.305796838534855
246,0.0001693210784075,0.118521163640189,0.305652259783299
247,0.000166259649834016,0.118541469086058,0.305508837769623
248,0.000163265583438037,0.118561827471359,0.305366554924793
249,0.000160337135101183,0.118582237733447,0.305225393994269
250,0.000157472612585181,0.118602698828217,0.305085338031293
251,0.000154670373790463,0.11862320972973,0.30494637039035
252,0.000151928825079811,0.118643769429852,0.304808474720793
253,0.000149246419664369,0.118664376937893,0.304671634960619
254,0.000146621656049476,0.118685031280268,0.304535835330409
255,0.000144053076537873,0.118705731500149,0.304401060327415
