sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_1000_AD002,Mus_musculus,Deep,0.73996,0.02907,3.88,Excitatory,mL5-1
Pool_1000_AD006,Mus_musculus,Deep,0.76419,0.0231,5.49,Excitatory,mL6-2
Pool_1001_AD002,Mus_musculus,Deep,0.72912,0.02458,4.8,Excitatory,mDL-2
Pool_1001_AD006,Mus_musculus,Deep,0.75049,0.02397,3.81,Excitatory,mDL-1
Pool_1002_AD002,Mus_musculus,Deep,0.72166,0.03014,4.41,Excitatory,mL5-2
Pool_1002_AD006,Mus_musculus,Deep,0.80117,0.03085,5.07,Excitatory,mL6-1
Pool_1003_AD002,Mus_musculus,Deep,0.75533,0.02655,3.99,Excitatory,mDL-3
Pool_1003_AD006,Mus_musculus,Deep,0.74187,0.01882,5.47,Excitatory,mL6-2
Pool_1004_AD002,Mus_musculus,Deep,0.72621,0.03338,4.1,Excitatory,mL5-2
Pool_1004_AD006,Mus_musculus,Deep,0.76407,0.02672,5.62,Excitatory,mDL-3
Pool_1005_AD002,Mus_musculus,Deep,0.77001,0.03123,4.69,Inhibitory,mVip
Pool_1005_AD006,Mus_musculus,Deep,0.79564,0.03979,5.91,Inhibitory,mSst-2
Pool_1006_AD002,Mus_musculus,Deep,0.76551,0.02909,3.62,Excitatory,mL6-2
Pool_1006_AD006,Mus_musculus,Deep,0.74632,0.02703,5.54,Excitatory,mL5-2
Pool_1007_AD002,Mus_musculus,Deep,0.72498,0.02092,4.31,Excitatory,mL6-2
Pool_1007_AD006,Mus_musculus,Deep,0.75905,0.02482,4.95,Excitatory,mDL-1
Pool_1008_AD002,Mus_musculus,Deep,0.75876,0.02677,2.8,Excitatory,mL6-2
Pool_1008_AD006,Mus_musculus,Deep,0.75753,0.0245,5.92,Excitatory,mL6-2
Pool_1009_AD008,Mus_musculus,Deep,0.77332,0.04085,5.08,Inhibitory,mPv
Pool_1009_AD010,Mus_musculus,Deep,0.74718,0.02248,5.64,Excitatory,mDL-2
Pool_100_AD002,Mus_musculus,Superficial,0.72659,0.01902,3.28,Excitatory,mL4
Pool_100_AD006,Mus_musculus,Superficial,0.75234,0.02543,4.35,Excitatory,mL2/3
Pool_1010_AD008,Mus_musculus,Deep,0.74393,0.02448,5.65,Excitatory,mDL-1
