seqnames,start,end,width,strand,num_cpg,start_ind,end_ind,pi,loglik_diff,rna_gene_name,rna_gene_start,rna_gene_end,rna_gene_strand,vmr_to_gene_dist,vmr_rna_corr,vmr_n_avail_cell,promoter_rna_corr,promoter_n_avail_cell,context
10,102879091,103025159,146069,*,649,585946,586594,0.691598820334904,707.975942718613,Alx1,103007846,103029054,-,0,-0.18968304494784,878,0.0103160033108615,546,VMRs overlapping with gene body
5,48088457,48212124,123668,*,579,226369,226947,0.718700148843485,573.206084104417,Slit2,47983138,48307733,+,0,0.00975011110775304,864,0.0273301399180824,336,VMRs overlapping with gene body
14,93224785,93354466,129682,*,555,463028,463582,0.711053441684918,541.829089747442,Pcdh9,93013410,93890679,-,0,-0.19369016243227,857,0.000117103147439639,523,VMRs overlapping with gene body
8,102523794,102639499,115706,*,528,556642,557169,0.746464986158833,493.181670942436,Cdh11,102632095,102785642,-,0,0.0189677680442553,875,-0.0346260252359338,562,VMRs overlapping with gene body
4,36047635,36200050,152416,*,504,148650,149153,0.694462926059463,489.935388815077,Lingo2,35706647,36951747,-,0,-0.217321217191908,878,-0.0106806091622996,572,VMRs overlapping with gene body
10,49518525,49649437,130913,*,404,245445,245848,0.695736689124584,443.484861408569,Grik2,49099843,49783259,-,0,-0.208711031736957,870,0.00546996306803711,355,VMRs overlapping with gene body
5,13400638,13519574,118937,*,482,43113,43594,0.736701591794387,429.943833893618,Sema3a,13125414,13602565,+,0,-0.254311726419452,855,-0.234457358390891,305,VMRs overlapping with gene body
2,62903195,63022837,119643,*,423,334215,334637,0.719010854645782,423.202179961587,Kcnh7,62693414,63184287,-,0,-0.156341484955546,864,0.0562943259303744,449,VMRs overlapping with gene body
10,103123893,103197864,73972,*,328,587102,587429,0.666431240418534,411.075647432784,Lrriq1,103063198,103236322,-,0,-0.160976808952393,833,0.0688423680294639,151,VMRs overlapping with gene body
14,93758147,93858612,100466,*,404,465259,465662,0.697537781613538,409.511242569458,Pcdh9,93013410,93890679,-,0,-0.200619970579586,811,0.000117103147439639,523,VMRs overlapping with gene body
10,103039251,103119498,80248,*,320,586755,587074,0.653514463518151,408.045493190682,Lrriq1,103063198,103236322,-,0,-0.183226931002859,826,0.0688423680294639,151,VMRs overlapping with gene body
2,136448647,136530855,82209,*,358,737513,737870,0.720226168533091,407.798404831319,Ankef1,136501910,136562091,+,0,-0.192951231849635,848,-0.187254097362342,274,VMRs overlapping with promoter
16,26703796,26803428,99633,*,389,135756,136144,0.730167049442069,398.283636332234,Il1rap,26581704,26730117,+,0,-0.189398928703682,861,0.0235239614654652,549,VMRs overlapping with gene body
16,46081709,46161780,80072,*,376,255416,255791,0.735967724385126,395.310072621401,Cd96,46035657,46120251,-,0,-0.243443223213011,875,-0.240589254694909,316,VMRs overlapping with promoter
9,75787714,75878198,90485,*,437,431523,431959,0.775520167492649,346.090114183367,Bmp5,75775364,75900310,+,0,-0.17375542803325,867,-0.0825799836931216,191,VMRs overlapping with gene body
9,75737936,75786971,49036,*,358,431148,431505,0.756875146325676,341.141942533225,Bmp5,75775364,75900310,+,0,-0.180956378050724,813,-0.0825799836931216,191,VMRs overlapping with promoter
4,49747112,49843152,96041,*,346,229035,229380,0.722322511287536,340.692136265792,Grin3a,49661611,49845744,-,0,-0.215045544144058,848,-0.11720676193628,465,VMRs overlapping with gene body
1,24160365,24209960,49596,*,325,91714,92038,0.761136170022292,339.218835471021,Col9a1,24177610,24252684,+,0,-0.138522920111866,833,-0.263492528349136,413,VMRs overlapping with promoter
11,58792903,58845107,52205,*,260,301300,301559,0.718323730680025,336.267923764285,Fam183b,58792797,58801960,-,0,-0.180294538213069,852,-0.186366764026159,476,VMRs overlapping with promoter
19,36000744,36055616,54873,*,280,203182,203461,0.706574852065209,329.431386910801,Htr7,35958734,36057507,-,0,-0.221740731482847,826,-0.0765966034614928,534,VMRs overlapping with gene body
